new_id,age_guess,gender_guess,zip,income,race
6383,71,female,60625,52037.0342,white
6388,60,female,60630,57285.3423,white
6400,4,female,60609,35478.1413,white
6404,7,female,60609,35478.1413,white
6412,5,male,60634,57736.1576,white
6427,56,female,60637,31645.489,white
6430,4,female,60630,57285.3423,white
6437,5,male,60647,50830.9318,white
6444,9,male,60618,58005.5133,white
6448,7,male,60618,58005.5133,white
6462,15,female,60641,49558.7368,white
6464,5,male,60633,46089.2828,white
6474,8,male,60619,37122.9883,
6476,8,male,60646,78555.3247,white
6479,11,male,60633,46089.2828,white
6480,68,male,60640,43975.102,white
6486,4,male,60638,60046.2161,white
6494,53,female,60631,74087.4356,white
6499,9,female,60615,37863.7745,white
6500,82,male,60645,49517.3061,white
6501,6,female,60615,37863.7745,white
6506,38,female,60638,60046.2161,white
6508,56,female,60645,49517.3061,white
6510,13,female,60646,78555.3247,white
6517,3,male,60638,60046.2161,white
6525,38,female,60631,74087.4356,white
6536,13,male,60649,28765.3108,
6538,42,female,60643,58104.9847,white
6540,6,male,60643,58104.9847,white
6542,7,male,60638,60046.2161,white
6547,8,male,60659,49521.1895,white
6552,10,male,60646,78555.3247,white
6553,9,male,60628,39591.7109,
6554,8,male,60646,78555.3247,white
6555,6,male,60628,39591.7109,
6578,66,female,60610,61110.0357,white
6595,10,male,60642,64721.4761,white
6598,10,female,60642,64721.4761,white
6600,37,female,60641,49558.7368,white
6624,65,female,60643,58104.9847,white
6634,15,female,60628,39591.7109,
6647,9,male,60619,37122.9883,
6653,43,female,60631,74087.4356,white
6659,10,male,60652,61356.9613,white
6661,14,male,60628,39591.7109,
6672,6,female,60616,47561.8415,white
6681,8,female,60616,47561.8415,white
6684,15,male,60628,39591.7109,
6687,41,female,60657,78622.5332,white
6694,51,female,60645,49517.3061,white
6695,74,female,60610,61110.0357,white
6696,9,female,60645,49517.3061,white
6700,13,male,60628,39591.7109,
6701,74,female,60609,35478.1413,white
6704,6,female,60628,39591.7109,
6706,68,female,60609,35478.1413,white
6709,12,male,60628,39591.7109,
6712,70,female,60609,35478.1413,white
6721,9,female,60637,31645.489,white
6723,74,female,60608,35282.9596,white
6724,13,male,60626,40808.2465,white
6736,9,male,60638,60046.2161,white
6748,4,male,60625,52037.0342,white
6753,14,male,60628,39591.7109,
6756,9,male,60630,57285.3423,white
6760,7,male,60614,89740.5419,white
6767,10,male,60630,57285.3423,white
6781,28,male,60657,78622.5332,white
6784,14,male,60628,39591.7109,
6788,12,female,60619,37122.9883,
6818,9,male,60609,35478.1413,white
6845,4,female,60601,94715.0122,white
6848,9,female,60619,37122.9883,
6853,35,female,60630,57285.3423,white
6859,10,male,60609,35478.1413,white
6885,13,male,60619,37122.9883,
6886,8,female,60619,37122.9883,
6888,9,female,60619,37122.9883,
6891,11,male,60619,37122.9883,
6894,3,female,60609,35478.1413,white
6899,9,male,60647,50830.9318,white
6919,8,male,60641,49558.7368,white
6920,6,female,60641,49558.7368,white
6946,57,female,60625,52037.0342,white
6965,5,female,60640,43975.102,white
6969,2,female,60640,43975.102,white
6974,38,female,60647,50830.9318,white
6976,6,female,60647,50830.9318,white
6978,4,male,60647,50830.9318,white
6979,8,male,60628,39591.7109,
6980,8,female,60628,39591.7109,
7006,7,female,60630,57285.3423,white
7012,11,female,60632,41426.6983,white
7019,7,female,60625,52037.0342,white
7021,44,female,60605,74840.7761,white
7023,6,female,60605,74840.7761,white
7024,1,female,60625,52037.0342,white
7025,5,male,60605,74840.7761,white
7037,33,female,60625,52037.0342,white
7042,8,female,60646,78555.3247,white
7043,6,male,60646,78555.3247,white
7044,5,female,60646,78555.3247,white
7059,9,male,60645,49517.3061,white
7064,2,female,60638,60046.2161,white
7080,8,female,60626,40808.2465,white
7082,6,female,60647,50830.9318,white
7095,7,female,60602,93646.0637,white
7098,6,male,60640,43975.102,white
7104,11,male,60659,49521.1895,white
7106,48,male,60617,39216.4893,white
